kabupaten,tahun,ALLSKY_SFC_SW_DWN_utama_mean,T2M_utama_mean,T2M_MAX_utama_mean,T2M_MIN_utama_mean,RH2M_utama_mean,PRECTOTCORR_utama_sum,ALLSKY_SFC_SW_DWN_gadu_mean,T2M_gadu_mean,T2M_MAX_gadu_mean,T2M_MIN_gadu_mean,RH2M_gadu_mean,PRECTOTCORR_gadu_sum,ALLSKY_SFC_SW_DWN_kemarau_mean,T2M_kemarau_mean,T2M_MAX_kemarau_mean,T2M_MIN_kemarau_mean,RH2M_kemarau_mean,PRECTOTCORR_kemarau_sum,luas_panen_ha,produksi_ton,produktivitas_ton_per_ha,prodvt_lag1,prodvt_roll2,prodvt_roll3
Lampung Barat,2023,17.5938089093702,23.68631935483871,27.01036282642089,21.27360276497696,88.1680158218126,1163.45,17.396241935483868,24.339349462365593,27.55675,22.02633602150538,88.82637096774194,606.0799999999999,21.117537634408603,25.248896057347668,30.589788530465952,21.27906093189964,75.98554838709676,73.53,13513.57,70922.62,5.248251942306881,4.81874228873434,4.87485888640124,4.670070941754273
Lampung Barat,2024,18.2012390063033,25.2940844642195,29.104709380793473,22.598075713756025,83.83247000370783,1105.0500000000002,17.450725806451615,24.94663978494624,28.26483870967742,22.500927419354838,88.02923387096774,590.07,19.955767025089603,25.77121863799283,30.960304659498206,22.047573476702507,74.91649103942653,176.8,13405.25,63045.97,4.703080509501874,5.248251942306881,5.0334971155206105,4.999323238369787
Lampung Selatan,2019,18.660169278033795,27.48007081413211,29.592064823348693,25.806147158218124,82.47858095238095,1301.94,18.00035752688172,27.633043010752687,29.648943548387095,26.06136021505376,80.77487634408602,454.6,20.951620071684587,28.037014336917565,31.95313978494624,25.114903225806454,70.21978494623654,62.86000000000001,44070.05,265878.24,6.033082331424629,5.5074647111551815,5.5074647111551815,5.5074647111551815
Lampung Selatan,2020,19.006206451612904,28.005392955135335,30.507885205784202,25.99914430849092,80.67879132369299,1611.12,16.902069892473115,27.589932795698925,29.27139516129032,26.25033064516129,83.61705376344086,769.33,18.764082437275984,27.22935483870968,29.296240143369175,25.597788530465948,82.10863799283153,395.96000000000004,54761.95,311668.77,5.691338054981608,6.033082331424629,5.770273521289905,5.770273521289905
Lampung Selatan,2021,17.461196159754223,26.97661351766513,28.93274669738863,25.38546390168971,84.54559078341013,1461.77,16.833231182795696,27.405317204301078,29.222276881720433,25.944956989247313,82.65384408602151,477.05000000000007,18.24805376344086,27.490817204301077,29.704458781362007,25.809078853046596,80.52382795698925,434.41999999999996,51178.22,330325.73,6.454420063847472,5.691338054981608,5.8622101932031185,5.743961699187139
Lampung Selatan,2022,18.336209370199693,27.113423655913984,28.976424731182796,25.554292626728113,84.03078095238097,1354.42,16.35808870967742,27.262018817204304,28.96455376344086,25.890510752688172,83.4660752688172,662.1500000000001,17.892505376344086,27.006813620071682,28.834931899641575,25.539605734767026,83.50012544802867,414.35,56393.41,339941.87,6.028042460989679,6.454420063847472,6.072879059414539,6.059613483417903
Lampung Selatan,2023,17.879984178187406,26.844020276497695,28.864217357910906,25.19267296466974,84.53707864823348,1274.93,17.22080376344086,27.61248924731183,29.398010752688172,26.16690322580645,82.8335564516129,568.85,21.42260215053763,28.234025089605733,31.6624623655914,25.610254480286738,73.1413835125448,66.13,52334.35,294548.78,5.628211299079859,6.028042460989679,6.241231262418576,6.057933526606253
Lampung Selatan,2024,18.270930812013347,28.196386355209494,30.6664645902855,26.290673192436042,81.33564352984797,1162.9,16.378462365591396,28.22233064516129,30.078325268817203,26.727618279569892,81.90886290322581,658.9300000000001,20.504211469534052,28.41122580645161,31.65978853046595,25.997344086021503,75.03217204301076,175.85,57884.73,317834.2,5.490812516530698,5.628211299079859,5.82812688003477,6.036891274639004
Lampung Tengah,2019,17.998651612903227,26.50008786482335,30.53735975422427,23.433006451612904,84.55791551459293,1214.92,16.6292311827957,26.070758064516127,30.02861559139785,23.057970430107527,87.07058333333333,501.0,19.779458781362006,28.051616487455195,35.196605734767026,22.68228673835125,65.9584157706093,55.019999999999996,98254.4,455234.05,4.633217952580241,4.578146459839185,4.578146459839185,4.578146459839185
Lampung Tengah,2020,17.659509974045235,27.275709306637005,31.677833741193922,23.877190952910645,81.3039107897664,1310.27,15.697104838709677,26.062852150537633,29.413174731182796,23.548642473118278,89.5043440860215,887.82,17.640154121863798,25.843297491039426,29.97967741935484,22.73567741935484,86.665770609319,341.19,113890.72,599111.2,5.2604040083336026,4.633217952580241,4.605682206209712,4.605682206209712
Lampung Tengah,2021,17.20088955453149,25.815216897081417,29.398126113671275,22.96606728110599,87.30070691244241,1167.13,16.078341397849464,25.901806451612902,29.613158602150538,23.036077956989246,87.70298655913977,446.44,17.325286738351256,26.44593906810036,31.05054121863799,23.085050179211468,82.64224014336918,399.29999999999995,100290.55,489447.65,4.880296797654415,5.2604040083336026,4.946810980456922,4.823922806917675
Lampung Tengah,2022,17.824016282642088,25.894742242703536,29.303853149001537,23.169814285714285,87.60440967741935,1252.23,15.373975806451613,25.80101075268817,29.268411290322582,23.103,88.60506182795697,581.99,16.36637634408602,25.78893548387097,29.662275985663083,22.934971326164874,86.75718279569891,400.62,101612.69,566601.47,5.576089659667508,4.880296797654415,5.070350402994009,4.92463958618942
Lampung Tengah,2023,17.05192043010753,25.764923502304146,29.375615668202762,22.845255299539172,87.06622365591399,1147.6699999999998,15.909575268817203,26.21670161290323,29.80043817204301,23.467833333333335,88.29759677419355,590.22,19.36300358422939,27.64952329749104,33.854838709677416,22.983641577060933,73.2982365591398,70.67,108129.91,608009.47,5.622953630498721,5.576089659667508,5.228193228660961,5.238930155218509
Lampung Tengah,2024,17.00996232851316,27.49122031887282,31.820285799035965,24.219699369670007,82.23315743418614,1065.6,15.202978494623656,26.70227688172043,30.37129569892473,23.879594086021505,87.96324193548386,574.4100000000001,18.424756272401435,28.001702508960573,34.032376344086025,23.566681003584232,73.37229032258064,172.64,107704.78,614016.7,5.700923394486298,5.622953630498721,5.599521645083114,5.359780029273548
Lampung Timur,2019,18.660169278033795,27.221175422427034,30.19294132104455,24.82675161290323,83.36939861751151,1230.25,18.00035752688172,27.17767204301075,30.013774193548386,25.022897849462368,83.84659946236559,474.83000000000004,20.951620071684587,28.138899641577066,33.334125448028665,24.28340860215054,69.58155555555555,52.629999999999995,80699.48,355113.03,4.400437648421032,4.422828405937179,4.422828405937179,4.422828405937179
Lampung Timur,2020,19.006206451612904,27.903601483129403,31.326359881349653,25.17377115313311,80.69273859844272,1376.83,16.902069892473115,27.1262123655914,29.52187365591398,25.271591397849463,86.22922043010753,814.1700000000001,18.764082437275984,26.8380394265233,29.787870967741934,24.545293906810034,84.10164157706095,342.29,94847.31,459300.61,4.842526477556401,4.400437648421032,4.411633027179105,4.411633027179105
Lampung Timur,2021,17.461196159754223,26.531244393241167,29.16770337941628,24.33228064516129,86.50542642089096,1268.51,16.833231182795696,26.94109677419355,29.616075268817205,24.84529301075269,84.98176612903225,460.46999999999997,18.24805376344086,27.184121863799287,30.337853046594983,24.823390681003588,81.80989247311828,394.25,83568.7,397374.49,4.75506367814744,4.842526477556401,4.621482062988717,4.5552641773048705
Lampung Timur,2022,18.336209370199693,26.692174039938557,29.24922795698925,24.477348540706608,85.96362058371736,1314.05,16.35808870967742,26.809424731182794,29.34040053763441,24.799126344086023,85.81347849462367,561.52,17.892505376344086,26.631863799283156,29.348154121863796,24.490551971326166,85.07503225806452,404.06,91718.06,449294.9,4.898652457324109,4.75506367814744,4.798795077851921,4.666009268041624
Lampung Timur,2023,17.879984178187406,26.45811474654378,29.172390322580647,24.14547910906298,86.27557327188941,1227.7099999999998,17.22080376344086,27.22059139784946,29.830591397849464,25.186069892473114,85.35967204301075,569.27,21.42260215053763,28.10516487455197,32.628684587813616,24.715835125448027,74.229541218638,65.58,94070.36,475668.41,5.056517376993136,4.898652457324109,4.826858067735774,4.832080871009317
Lampung Timur,2024,18.270930812013347,28.156631738969224,31.510750166852056,25.498065109380796,81.35554215795328,1110.85,16.378462365591396,27.779997311827955,30.439209677419356,25.7220188172043,84.64268279569892,580.54,20.504211469534052,28.40362365591398,32.76351971326165,25.160942652329748,74.775688172043,176.68,93339.53,482716.29,5.17161689157852,5.056517376993136,4.977584917158622,4.903411170821561
Lampung Utara,2019,18.55684946236559,26.50008786482335,30.53735975422427,23.433006451612904,84.55791551459293,1214.92,17.86946505376344,26.070758064516127,30.02861559139785,23.057970430107527,87.07058333333333,501.0,19.84474910394265,28.051616487455195,35.196605734767026,22.68228673835125,65.9584157706093,55.019999999999996,15080.38,61822.68,4.099543910697211,4.324505269448404,4.324505269448404,4.324505269448404
Lampung Utara,2020,18.21333110863923,27.275709306637005,31.677833741193922,23.877190952910645,81.3039107897664,1310.27,16.95269623655914,26.062852150537633,29.413174731182796,23.548642473118278,89.5043440860215,887.82,18.045419354838707,25.843297491039426,29.97967741935484,22.73567741935484,86.665770609319,341.19,17133.37,75751.91,4.421308242336447,4.099543910697211,4.212024590072808,4.212024590072808
Lampung Utara,2021,17.52781321044547,25.815216897081417,29.398126113671275,22.96606728110599,87.30070691244241,1167.13,17.69142741935484,25.901806451612902,29.613158602150538,23.036077956989246,87.70298655913977,446.44,18.178283154121868,26.44593906810036,31.05054121863799,23.085050179211468,82.64224014336918,399.29999999999995,16940.92,74260.22,4.383482124937725,4.421308242336447,4.260426076516829,4.281785807494021
Lampung Utara,2022,18.728911827956985,25.894742242703536,29.303853149001537,23.169814285714285,87.60440967741935,1252.23,16.513959677419354,25.80101075268817,29.268411290322582,23.103,88.60506182795697,581.99,16.92528315412186,25.78893548387097,29.662275985663083,22.934971326164874,86.75718279569891,400.62,13705.47,63452.76,4.629739804618157,4.383482124937725,4.402395183637086,4.301444759323794
Lampung Utara,2023,17.345143471582183,25.764923502304146,29.375615668202762,22.845255299539172,87.06622365591399,1147.6699999999998,16.805037634408603,26.21670161290323,29.80043817204301,23.467833333333335,88.29759677419355,590.22,19.096885304659498,27.64952329749104,33.854838709677416,22.983641577060933,73.2982365591398,70.67,17834.92,72390.72,4.058931579171648,4.629739804618157,4.506610964777941,4.47817672396411
Lampung Utara,2024,17.509498998887654,27.49122031887282,31.820285799035965,24.219699369670007,82.23315743418614,1065.6,16.615051075268816,26.70227688172043,30.37129569892473,23.879594086021505,87.96324193548386,574.4100000000001,18.79416129032258,28.001702508960573,34.032376344086025,23.566681003584232,73.37229032258064,172.64,15092.55,63178.9,4.1860984392962095,4.058931579171648,4.344335691894902,4.357384502909177
Mesuji,2019,17.00975253456221,27.03566098310292,29.66894700460829,24.76401428571429,85.32750706605223,1363.0299999999997,16.269586021505376,27.19933870967742,29.848040322580644,25.123663978494623,85.46942204301075,556.84,18.630491039426524,27.062910394265234,31.38673835125448,23.884878136200715,78.66835483870967,75.25999999999999,56247.52,246840.77,4.388473838491013,5.123032875572949,5.123032875572949,5.123032875572949
Mesuji,2020,16.869051242120875,27.696857397107898,31.028408676307002,25.01371575824991,82.6788680756396,1283.8799999999999,15.507733870967742,27.150723118279572,29.42138709677419,25.39474193548387,86.90682795698925,913.8,17.096759856630822,26.825605734767024,29.701025089605732,24.549007168458783,85.11687096774193,434.37,78479.45,325509.23,4.147700194127252,4.388473838491013,4.755753357031981,4.755753357031981
Mesuji,2021,16.423621812596004,26.496355913978494,28.982962058371733,24.371512442396313,87.662044546851,1176.33,16.02999193548387,26.998916666666666,29.526865591397847,24.957483870967742,85.70808064516129,814.04,16.952734767025092,26.96725806451613,29.84162365591398,24.72002508960573,84.46183870967742,442.65000000000003,65020.17,336767.8,5.179435858134483,4.147700194127252,4.268087016309133,4.553068969397072
Mesuji,2022,17.035618125960063,26.68525929339478,29.039690322580647,24.55077373271889,86.51805391705071,1361.26,15.423602150537636,26.8917688172043,29.274263440860214,24.905059139784946,86.44811827956988,676.03,15.506609318996416,26.620444444444445,29.266598566308243,24.459741935483873,85.97000358422939,554.89,57654.9,296934.72,5.150207874786011,5.179435858134483,4.663568026130868,4.571869963584249
Mesuji,2023,15.987033486943165,26.493267741935483,28.876248233486944,24.38494086021505,87.40707880184331,1274.46,15.678854838709675,27.33806451612903,29.805370967741936,25.381736559139785,86.38311021505376,714.49,18.791566308243727,27.3028458781362,31.046616487455196,24.527050179211468,81.63852688172042,86.26,56726.11,296526.82,5.227342752746487,5.150207874786011,5.164821866460247,4.825781309015915
Mesuji,2024,16.17081876158695,27.900732740081573,30.77399636633296,25.484755951056727,84.15327541713013,1262.07,15.477118279569893,27.834672043010755,30.39381451612903,25.84302688172043,85.85512903225806,725.5900000000001,18.15890322580645,27.66710035842294,31.09897849462365,24.965853046594983,81.41094265232975,226.79000000000002,56395.22,271572.19,4.815517875451146,5.227342752746487,5.188775313766248,5.185662161888994
Metro,2019,18.660169278033795,26.50008786482335,30.53735975422427,23.433006451612904,84.55791551459293,1214.92,18.00035752688172,26.070758064516127,30.02861559139785,23.057970430107527,87.07058333333333,501.0,20.951620071684587,28.051616487455195,35.196605734767026,22.68228673835125,65.9584157706093,55.019999999999996,2998.62,13073.36,4.359792171065357,4.8175176618637625,4.8175176618637625,4.8175176618637625
Metro,2020,19.006206451612904,27.275709306637005,31.677833741193922,23.877190952910645,81.3039107897664,1310.27,16.902069892473115,26.062852150537633,29.413174731182796,23.548642473118278,89.5043440860215,887.82,18.764082437275984,25.843297491039426,29.97967741935484,22.73567741935484,86.665770609319,341.19,7280.04,41669.07,5.723741902517019,4.359792171065357,4.588654916464559,4.588654916464559
Metro,2021,17.461196159754223,25.815216897081417,29.398126113671275,22.96606728110599,87.30070691244241,1167.13,16.833231182795696,25.901806451612902,29.613158602150538,23.036077956989246,87.70298655913977,446.44,18.24805376344086,26.44593906810036,31.05054121863799,23.085050179211468,82.64224014336918,399.29999999999995,5179.2,24205.52,4.673602100710535,5.723741902517019,5.041767036791188,4.967017245148713
Metro,2022,18.336209370199693,25.894742242703536,29.303853149001537,23.169814285714285,87.60440967741935,1252.23,16.35808870967742,25.80101075268817,29.268411290322582,23.103,88.60506182795697,581.99,17.892505376344086,25.78893548387097,29.662275985663083,22.934971326164874,86.75718279569891,400.62,5323.92,29297.35,5.502965859742445,4.673602100710535,5.198672001613777,4.91904539143097
Metro,2023,17.879984178187406,25.764923502304146,29.375615668202762,22.845255299539172,87.06622365591399,1147.6699999999998,17.22080376344086,26.21670161290323,29.80043817204301,23.467833333333335,88.29759677419355,590.22,21.42260215053763,27.64952329749104,33.854838709677416,22.983641577060933,73.2982365591398,70.67,5279.15,29992.75,5.681359688586231,5.502965859742445,5.08828398022649,5.300103287656666
Metro,2024,18.270930812013347,27.49122031887282,31.820285799035965,24.219699369670007,82.23315743418614,1065.6,16.378462365591396,26.70227688172043,30.37129569892473,23.879594086021505,87.96324193548386,574.4100000000001,20.504211469534052,28.001702508960573,34.032376344086025,23.566681003584232,73.37229032258064,172.64,5154.43,29403.78,5.70456481124004,5.681359688586231,5.592162774164338,5.28597588301307
Pesawaran,2019,18.660169278033795,26.537308755760364,29.49153056835637,24.450840860215052,84.10623748079877,1304.8300000000002,18.00035752688172,26.321013440860213,29.096658602150537,24.314833333333333,84.75852688172043,480.05,20.951620071684587,26.9912688172043,32.01286379928315,23.42825806451613,71.52970250896058,63.74,20564.75,111281.36,5.411267338528307,5.51219354235768,5.51219354235768,5.51219354235768
Pesawaran,2020,19.006206451612904,27.126033518724512,30.460534593993323,24.682295068594737,81.9736476826103,1626.45,16.902069892473115,26.387983870967744,28.745844086021506,24.66464247311828,87.0898682795699,895.77,18.764082437275984,26.001541218637993,28.849856630824377,23.98137634408602,85.569770609319,425.18,22068.41,113206.52,5.129799564173404,5.411267338528307,5.461730440442993,5.461730440442993
Pesawaran,2021,17.461196159754223,26.105806144393245,28.798528725038402,24.08873748079877,85.41729523809525,1281.16,16.833231182795696,26.23068817204301,28.789959677419354,24.342147849462368,85.66664784946238,425.42,18.24805376344086,26.490559139784946,29.730114695340504,24.242896057347668,82.46844802867383,439.68000000000006,21260.36,113402.71,5.333997636916779,5.129799564173404,5.270533451350856,5.351086815019797
Pesawaran,2022,18.336209370199693,26.07516728110599,28.61299062980031,24.201303993855603,86.12442734254992,1302.4,16.35808870967742,26.10293010752688,28.468540322580644,24.359494623655912,86.46172311827956,698.8399999999999,17.892505376344086,25.933430107526885,28.5631541218638,24.116275985663084,85.91046594982079,419.88,23359.64,130558.89,5.5890797118448745,5.333997636916779,5.231898600545092,5.29168817987283
Pesawaran,2023,17.879984178187406,25.90186712749616,28.621032718894014,23.89840752688172,85.89943302611367,1140.6200000000001,17.22080376344086,26.383978494623655,28.85601612903226,24.613056451612902,86.45187365591397,616.8,21.42260215053763,27.06555555555556,31.53328673835125,23.88068458781362,75.78139068100359,69.71000000000001,23009.98,121692.61,5.288688212679889,5.5890797118448745,5.461538674380827,5.350958970978353
Pesawaran,2024,18.270930812013347,27.191314571746386,30.414890841675934,24.95646800148313,83.12889558769004,1097.0500000000002,16.378462365591396,26.969405913978495,29.540567204301077,25.081462365591396,86.03555376344086,668.9300000000001,20.504211469534052,27.426870967741934,31.667881720430106,24.461792114695342,76.35734050179212,184.82,21910.12,115934.28,5.291357600962478,5.288688212679889,5.438883962262382,5.403921853813848
Pesisir Barat,2019,18.55532841781874,25.363048694316436,27.655666052227343,23.835761751152074,86.16325867895544,1606.7800000000002,18.7834811827957,25.634034946236557,28.116967741935483,23.823287634408604,84.85117741935483,694.56,21.52919713261649,25.294910394265234,29.672559139784948,22.189139784946235,75.55260931899642,85.39,11038.55,50951.25,4.6157556925501995,5.102144688698765,5.102144688698765,5.102144688698765
Pesisir Barat,2020,20.042568409343716,25.932870077864294,28.69986829810901,24.102439747867997,83.47616143863551,1750.55,17.771809139784946,25.823940860215057,27.96540053763441,24.245336021505377,85.28596505376345,1013.76,18.706724014336917,25.347240143369177,28.0258853046595,23.494125448028672,84.63106810035843,543.67,12808.37,60273.6,4.705797849375057,4.6157556925501995,4.858950190624482,4.858950190624482
Pesisir Barat,2021,17.585511213517666,25.149882949308758,27.431285099846388,23.5702579109063,85.87752442396314,1322.98,18.112094086021507,25.557368279569896,27.74985752688172,23.919521505376345,84.85518548387097,691.91,18.333953405017922,25.62518996415771,28.419534050179212,23.703451612903223,83.63024372759855,751.53,12215.56,62295.74,5.099703984098969,4.705797849375057,4.660776770962628,4.807899410208006
Pesisir Barat,2022,18.263457450076807,25.062227956989247,27.209504301075263,23.659222734254993,86.54908556067589,1331.7,17.293580645161292,25.39582258064516,27.451951612903223,23.926413978494622,85.85567741935483,805.1999999999999,16.539598566308243,24.97872759856631,27.228358422939067,23.45692831541219,86.64925089605735,755.99,11921.43,60772.93,5.09778860421946,5.099703984098969,4.902750916737013,4.8070858420080755
Pesisir Barat,2023,17.551433640552993,24.85745437788018,27.050856528417818,23.431124884792627,87.21813932411673,1401.35,17.932153225806452,25.705032258064517,27.85660752688172,24.225048387096777,86.55747043010753,773.81,21.92328315412186,25.435598566308244,29.33096415770609,22.685863799283155,79.68582795698924,98.75,10860.16,60121.34,5.535953429783723,5.09778860421946,5.0987462941592145,4.967763479231162
