Model,RMSE mean,RMSE std,MAE mean,R2 mean,MAPE mean (%),MAPE std (%)
Naive Roll2,0.39291379309323254,0.07667010225847197,0.33012273491300864,0.4700109537985183,6.588642485743415,1.3521252440407336
Ridge Hist Lag,0.4277495783668601,0.07477897851140192,0.34784437623317643,0.36931557468048204,6.7539182164028775,1.1158723885069437
Naive Lag1,0.43153147289555494,0.1084868807228628,0.3388516988234006,0.3393897388839241,6.760915046277981,1.822748401381896
Naive Kab Mean,0.45453367626507263,0.06696799029920208,0.38171564433017313,0.30188912062898343,7.478632610804721,1.086194169689587
Ridge Regression,0.4904083689518822,0.13609947180664522,0.4178346509389195,0.11814716038791948,8.141013914799172,2.5858039348439665
Random Forest,0.538759792702019,0.026322725936864605,0.4264544524122904,0.01851704740369873,8.170589718131495,0.42403758803668384
Gradient Boosting,0.5239903392406269,0.10819772757289027,0.4396247975968198,0.01975796445633784,8.538910495474273,1.9874187588097418
Naive Mean,0.5943206337952384,0.010557189706701442,0.4807112179860997,-0.19427319949011493,9.259054073626299,0.8013725927331746
