Model,RMSE (t/ha),MAE (t/ha),R²,MAPE (%)
Naive Lag1,0.3834700999198565,0.2861006080211724,0.580175407710957,5.918251431739723
Ridge Hist Lag,0.3906128804470434,0.305409103974972,0.5643898588656091,6.257312741100966
Naive Roll2,0.3876341227481364,0.320040268260628,0.5710083272173719,6.539743166330855
Naive Kab Mean,0.44372080180090595,0.3612720426237617,0.437885951008504,7.103257337696155
Naive Mean,0.5996340108749857,0.48495621865185384,-0.02654354681447879,9.507579323028885
