Feature Set,Jumlah Fitur,MAPE mean (%),MAPE std (%),RMSE mean,R2 mean
Histori target ringkas,2,6.744008183906604,1.1525212956402595,0.43377039559527886,0.35174054965245405
Histori + Kabupaten,16,7.15953981290359,0.7248391037627412,0.4445031020779716,0.3297192559602854
Full: Cuaca+Luas+Kab,33,8.141013914799172,2.891016687398773,0.4904083689518822,0.11814716038791948
Cuaca + Kabupaten,32,8.374811976128782,2.977090546213674,0.49703003532192336,0.09619957459384061
Histori + Cuaca + Kab,34,8.588642144641984,2.868023828429161,0.5128789224412355,0.04474834433496031
Cuaca + Luas Panen,19,11.057283884806605,4.578341185303129,0.6549574965772643,-0.6142737316598382
Histori + Cuaca,20,11.394133418183205,6.1514281653883005,0.6504274399660982,-0.6783885181666005
Cuaca saja,18,12.559087438511963,5.777645043530875,0.7288898373124724,-0.9749332649867346
