kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Bandar Lampung,2019,7,18.4,25.767419354838708,29.140967741935484,23.324838709677422,81.65064516129033,70.58
Bandar Lampung,2019,8,19.77032258064516,26.216129032258067,30.84161290322581,23.038709677419355,74.00161290322582,3.39
Bandar Lampung,2019,9,21.050666666666665,27.168,32.50633333333333,23.298000000000002,69.24233333333333,3.6
Bandar Lampung,2019,10,22.033870967741933,27.58967741935484,32.69064516129032,23.948064516129033,71.34516129032258,56.75
Bandar Lampung,2019,11,21.201999999999998,27.859333333333332,32.657000000000004,24.403666666666666,72.48366666666666,53.5
Bandar Lampung,2019,12,18.830967741935485,27.813870967741938,32.04548387096774,24.821290322580648,77.5058064516129,276.38
Bandar Lampung,2020,1,18.786129032258064,26.73548387096774,29.551935483870967,24.69677419354839,86.28709677419356,584.64
Bandar Lampung,2020,2,18.09,26.547931034482758,29.06793103448276,24.58103448275862,86.60586206896552,267.43
Bandar Lampung,2020,3,18.121935483870967,26.673548387096773,28.98032258064516,24.908709677419353,86.9858064516129,444.5
Bandar Lampung,2020,4,18.657333333333334,26.823333333333334,29.223333333333336,25.005999999999997,86.84466666666667,290.9
Bandar Lampung,2020,5,16.216129032258063,26.780645161290323,29.001290322580644,25.169677419354837,87.91161290322582,190.13
Bandar Lampung,2020,6,16.039333333333335,26.186666666666667,28.481333333333332,24.46966666666667,87.16900000000001,268.28000000000003
Bandar Lampung,2020,7,16.695483870967742,25.761290322580646,28.27741935483871,24.01322580645161,86.4341935483871,146.46
Bandar Lampung,2020,8,19.634516129032257,25.878387096774194,28.71709677419355,23.7758064516129,85.79516129032258,170.82
Bandar Lampung,2020,9,18.83966666666667,26.063333333333333,29.05666666666667,23.918,85.11866666666667,112.3
Bandar Lampung,2020,10,17.818064516129034,26.062903225806455,28.7758064516129,24.25032258064516,85.79548387096774,142.06
Bandar Lampung,2020,11,17.349333333333334,26.62066666666667,29.837666666666667,24.409666666666666,83.34933333333333,161.63
Bandar Lampung,2020,12,17.049677419354836,25.87741935483871,28.616451612903226,23.879677419354838,85.23516129032258,294.26
Bandar Lampung,2021,1,15.440967741935484,25.923548387096773,28.393225806451614,23.990645161290324,86.10870967741936,335.33
Bandar Lampung,2021,2,17.595357142857143,26.056428571428572,28.601428571428574,24.118214285714288,86.90714285714286,307.99
Bandar Lampung,2021,3,19.870645161290323,26.050967741935484,28.543870967741935,24.04548387096774,85.48612903225806,181.95
Bandar Lampung,2021,4,18.813,26.212,28.694333333333336,24.359666666666666,86.08033333333333,200.95
Bandar Lampung,2021,5,16.618387096774192,26.695483870967742,29.180967741935483,24.923870967741934,87.35806451612903,87.7
Bandar Lampung,2021,6,15.077666666666666,26.033333333333335,28.230666666666664,24.35666666666667,86.31400000000001,81.35
Bandar Lampung,2021,7,16.823870967741936,25.98193548387097,29.053870967741933,23.728387096774195,82.9141935483871,55.419999999999995
Bandar Lampung,2021,8,17.232580645161292,26.45774193548387,29.820322580645165,24.13,81.44290322580645,116.07
Bandar Lampung,2021,9,17.979,26.351999999999997,29.570666666666668,24.109333333333332,83.26566666666666,165.02
Bandar Lampung,2021,10,19.53258064516129,26.661935483870966,29.799354838709675,24.489354838709676,82.69677419354838,158.59
Bandar Lampung,2021,11,17.31066666666667,25.967,28.470333333333333,24.200333333333333,86.91266666666667,371.2
Bandar Lampung,2021,12,17.98193548387097,26.21677419354839,28.93322580645161,24.25483870967742,85.4541935483871,252.76999999999998
Bandar Lampung,2022,1,18.811612903225804,25.912580645161288,28.183548387096774,24.19193548387097,87.26774193548388,315.46
Bandar Lampung,2022,2,18.75392857142857,25.934642857142855,28.551071428571426,23.96392857142857,85.74785714285714,223.46
Bandar Lampung,2022,3,18.822903225806453,26.344838709677422,28.926774193548386,24.39548387096774,85.23967741935483,139.51
Bandar Lampung,2022,4,19.051666666666666,26.28166666666667,28.812,24.404333333333334,85.537,226.19
Bandar Lampung,2022,5,15.711612903225806,26.40516129032258,28.58516129032258,24.782258064516128,87.5232258064516,234.63
Bandar Lampung,2022,6,14.861333333333334,25.671666666666667,27.877,24.103,87.24666666666667,147.83
Bandar Lampung,2022,7,15.80774193548387,26.05322580645161,28.6,24.148387096774194,85.53999999999999,90.19
Bandar Lampung,2022,8,17.654193548387095,26.021290322580644,28.575806451612905,24.206451612903226,86.09645161290322,137.72
Bandar Lampung,2022,9,18.262999999999998,25.939,28.683333333333334,24.023666666666667,85.46333333333334,85.6
Bandar Lampung,2022,10,17.760322580645163,25.84,28.43032258064516,24.118709677419357,86.1716129032258,196.56
Bandar Lampung,2022,11,18.529333333333334,25.988333333333333,28.824,24.000666666666667,85.74033333333334,148.06
Bandar Lampung,2022,12,16.406774193548387,26.011935483870968,28.990645161290324,23.84,84.34161290322581,215.45
Bandar Lampung,2023,1,18.219032258064516,25.656129032258065,28.223225806451612,23.77774193548387,86.87612903225806,310.46
Bandar Lampung,2023,2,16.90607142857143,25.77035714285714,28.365357142857142,23.7375,85.84392857142858,205.37
Bandar Lampung,2023,3,19.338709677419356,26.08258064516129,28.70193548387097,24.136129032258065,86.69516129032259,261.28000000000003
Bandar Lampung,2023,4,20.0,26.291666666666668,28.871,24.370333333333335,86.47133333333333,107.05
